crop_name,min_threshold_temperature,max_threshold_temperature,water_requirement,drought_tolerance,wind_tolerance
Rice,20,38,8,30,40
Wheat,3,32,4,60,50
Corn,10,35,7,50,60
Maize,10,35,7,50,60
Sugarcane,15,40,11,40,30
Soybean,10,30,7,50,50
Cotton,15,40,5,70,40
Tomato,12,30,5,40,30
Potato,7,25,6,50,30
Barley,3,32,3,60,50
Sorghum,15,40,4,80,50
Millet,18,40,4,80,60
Banana,18,35,8,30,40
Coffee,15,30,5,40,20
Tea,13,28,8,30,30
Grapes,10,30,4,50,40
Apple,4,24,5,40,20
Sugar Beet,4,30,6,50,40
Chickpea,10,32,3,70,50
Lentils,5,28,2,70,50
Peanut,18,35,3,60,40
Cassava,20,38,6,80,30
Cabbage,10,25,4,40,30
Carrot,7,24,4,50,20
Pepper,15,30,5,40,30
Capsicum,15,30,5,40,30
Onion,10,25,4,50,40
Garlic,5,30,3,60,30
Spinach,7,24,4,50,20
Broccoli,10,25,5,40,30
Cauliflower,10,25,4,40,30
Peas,5,24,3,60,50
Strawberry,10,25,6,50,20
Cucumber,15,30,6,40,30
Zucchini,15,30,5,40,30
Pumpkin,18,35,7,40,30
Melon,18,35,7,40,30
Watermelon,18,35,7,50,30
Pineapple,20,35,8,30,40
Papaya,20,38,6,30,30
Mango,15,35,6,40,30
Coconut,22,38,8,30,50
Avocado,15,30,5,30,40
Date Palm,20,45,4,80,60
Olive,10,30,3,80,50
Alfalfa,5,32,6,60,40
Sunflower,10,30,5,50,40
Sesame,15,40,4,70,40
Flax,5,25,4,60,30
Oats,5,30,4,60,40
Rye,3,32,3,60,50
Quinoa,10,30,3,70,50
Amaranth,15,40,4,80,50
Buckwheat,10,25,4,60,40
Kale,5,24,6,50,30
Mustard,10,30,5,50,30
Turnip,5,25,4,50,30
Radish,5,25,5,50,30
Beetroot,5,25,5,50,30
Artichoke,10,30,6,40,30
Leek,10,25,5,50,30
Fennel,10,30,4,50,30
Parsley,5,25,4,50,30
Celery,10,25,5,40,30
